ind,loanAmount,intRate,installment,grade,annualInc,totCurBal,totalRevHiLim,totHiCredLim,totalBalExMort,totalBcLimit,totalIlHighCreditLimit,Dietz,blade
86," 7,125.00 ", 0.20 ,264.69,D," 42,000.00 "," 16,634.00 ",8100.00,32005,16634,3300,22503,-0.28,e
87," 12,000.00 ", 0.07 ,368.45,A," 79,000.00 "," 102,556.00 ",51800.00,144297,102556,45300,92497,-0.29,r
88," 5,000.00 ", 0.10 ,160.57,B," 90,000.00 "," 152,546.00 ",14800.00,178308,14461,4300,10508,0.09,w
89," 11,000.00 ", 0.11 ,360.08,B," 80,000.00 "," 368,624.00 ",28100.00,409892,83418,12900,77008,0.10,e
90," 9,000.00 ", 0.10 ,289.02,B," 53,000.00 "," 117,751.00 ",18600.00,136457,34433,12100,29586,0.02,r
91," 18,000.00 ", 0.12 ,400.31,B," 63,000.00 "," 29,111.00 ",44700.00,67972,29111,27700,23272,0.18,w
92," 14,000.00 ", 0.07 ,429.86,A," 223,000.00 "," 337,390.00 ",78500.00,411000,16566,78500,0,0.02,e
93," 30,000.00 ", 0.16 ,1058.27,C," 220,000.00 "," 164,652.00 ",49100.00,198159,30847,39500,13412,0.05,r
94," 24,000.00 ", 0.07 ,736.89,A," 210,000.00 "," 79,884.00 ",107600.00,154969,79884,106100,47369,0.06,w
95," 24,000.00 ", 0.15 ,831.74,C," 82,000.00 "," 194,973.00 ",28700.00,227760,53793,8600,46455,0.12,e
96," 4,400.00 ", 0.12 ,146.13,B," 20,520.00 "," 32,256.00 ",13500.00,40435,32256,9100,26935,0.05,r
97," 20,000.00 ", 0.12 ,664.2,B," 64,600.00 "," 50,098.00 ",31500.00,100046,20328,11800,22663,0.07,w
98," 30,000.00 ", 0.18 ,765.89,D," 122,000.00 "," 40,232.00 ",34700.00,54849,40232,27700,19566,0.26,e
99," 10,000.00 ", 0.13 ,336.22,B," 33,000.00 "," 12,278.00 ",16000.00,21727,12278,10100,4301,0.12,r
100," 11,100.00 ", 0.08 ,347.33,A," 84,000.00 "," 81,212.00 ",32600.00,113358,81212,30600,80758,0.07,w
101," 12,500.00 ", 0.10 ,401.41,B," 54,000.00 "," 40,550.00 ",13800.00,65642,40550,9800,51842,0.07,e
102," 13,500.00 ", 0.06 ,410.88,A," 65,000.00 "," 79,142.00 ",91700.00,165340,79142,87400,73640,0.05,r
103," 30,000.00 ", 0.13 ,1008.66,B," 70,000.00 "," 222,722.00 ",41000.00,237000,34900,41000,0,0.10,w
104," 18,000.00 ", 0.14 ,414.46,B," 110,000.00 "," 32,557.00 ",14500.00,35046,32557,14300,20546,0.10,e
105," 10,000.00 ", 0.11 ,327.34,B," 59,900.00 "," 161,471.00 ",20200.00,190877,17987,11900,15119,0.08,r
106," 13,000.00 ", 0.13 ,437.09,B," 75,000.00 "," 128,276.00 ",14800.00,147262,22194,8200,21450,0.10,w
107," 20,000.00 ", 0.14 ,679,B," 130,000.00 "," 68,375.00 ",59500.00,109267,68375,49800,47078,0.13,e
108," 15,000.00 ", 0.13 ,504.33,B," 95,000.00 "," 85,100.00 ",56000.00,127334,85100,35500,71334,0.12,r
109," 20,950.00 ", 0.18 ,534.85,D," 50,000.00 "," 54,294.00 ",47200.00,86593,54294,37100,39393,0.26,w
110," 14,700.00 ", 0.15 ,509.44,C," 54,000.00 "," 179,203.00 ",21100.00,195325,55804,18500,44545,0.14,e
111," 12,875.00 ", 0.16 ,314.74,C," 44,639.00 "," 210,642.00 ",14700.00,222257,29096,7200,20015,0.18,r
112," 9,950.00 ", 0.14 ,342.35,C," 24,000.00 "," 8,531.00 ",24200.00,24200,8531,3000,0,0.14,w
113," 12,000.00 ", 0.14 ,407.4,B," 70,000.00 "," 6,995.00 ",9800.00,17090,6995,3600,7290,0.12,e
114," 16,000.00 ", 0.09 ,508.06,A," 150,000.00 "," 374,597.00 ",26900.00,421523,50648,9000,62123,0.08,r
115," 3,200.00 ", 0.11 ,104.75,B," 81,000.00 "," 31,974.00 ",13700.00,44664,31974,13700,30964,0.10,w
116," 19,000.00 ", 0.08 ,592.07,A," 91,000.00 "," 232,349.00 ",35200.00,250675,63082,32700,41975,0.06,e
117," 15,000.00 ", 0.08 ,467.43,A," 87,000.00 "," 7,044.00 ",15800.00,44414,7044,13000,28614,0.05,r
118," 8,400.00 ", 0.13 ,282.43,B," 67,500.00 "," 32,666.00 ",14400.00,53439,32666,3900,39039,0.11,w
119," 12,800.00 ", 0.13 ,430.36,B," 55,000.00 "," 39,511.00 ",15800.00,60228,39511,8600,44428,0.00,e
120," 5,050.00 ", 0.09 ,160.36,A," 45,000.00 "," 22,356.00 ",9800.00,37915,22356,8100,22018,0.04,r
121," 5,000.00 ", 0.16 ,176.38,C," 125,000.00 "," 694,042.00 ",47900.00,746937,382848,29100,297800,0.15,w
122," 8,000.00 ", 0.09 ,254.03,A," 33,696.00 "," 58,449.00 ",12500.00,60188,58449,12500,47688,0.06,e
123," 15,000.00 ", 0.16 ,524.48,C," 55,000.00 "," 74,343.00 ",17000.00,95431,74343,7100,78431,-0.52,r
124," 35,000.00 ", 0.16 ,1223.77,C," 93,000.00 "," 211,015.00 ",13300.00,248508,70856,6800,91588,0.05,w
125," 12,000.00 ", 0.18 ,301.93,D," 48,000.00 "," 14,230.00 ",11400.00,20275,14230,6300,8875,0.12,e
126," 2,400.00 ", 0.18 ,87.07,D," 66,000.00 "," 6,689.00 ",7200.00,7200,6689,7200,0,0.18,r
127," 28,000.00 ", 0.08 ,872.52,A," 250,000.00 "," 29,237.00 ",120000.00,158048,29237,120000,38048,0.05,w
128," 20,000.00 ", 0.08 ,625.81,A," 100,000.00 "," 1,593.00 ",17300.00,17300,1593,17300,0,0.06,e
129," 35,000.00 ", 0.17 ,869.66,D," 110,000.00 "," 500,570.00 ",47200.00,531758,148125,47200,111618,0.26,r
130," 14,000.00 ", 0.14 ,481.69,C," 70,000.00 "," 45,958.00 ",13500.00,79622,45958,4000,66122,0.14,w
131," 12,000.00 ", 0.13 ,403.47,B," 65,000.00 "," 35,728.00 ",11200.00,46803,35728,6600,35603,0.12,e
132," 23,000.00 ", 0.14 ,540.8,C," 60,100.00 "," 40,500.00 ",88800.00,127288,40500,84800,38488,0.07,r
133," 10,500.00 ", 0.14 ,361.27,C," 55,000.00 "," 179,553.00 ",13600.00,192746,39949,4500,36696,0.06,w
134," 30,000.00 ", 0.10 ,963.38,B," 110,700.00 "," 50,798.00 ",35800.00,64980,50798,35700,29180,-0.31,e
135," 2,400.00 ", 0.14 ,82.01,C," 41,000.00 "," 14,165.00 ",8700.00,18487,14165,800,9787,0.05,r
136," 20,000.00 ", 0.19 ,521.24,D," 85,000.00 "," 332,201.00 ",62000.00,385456,66526,54500,46696,0.07,w
137," 19,600.00 ", 0.24 ,560.45,F," 55,000.00 "," 142,157.00 ",15200.00,163155,27036,5400,29223,-0.24,e
138," 20,000.00 ", 0.06 ,608.72,A," 110,000.00 "," 320,635.00 ",86000.00,399200,47487,77500,33700,0.05,r
139," 13,000.00 ", 0.08 ,405.1,A," 90,000.00 "," 274,460.00 ",23600.00,310132,66484,5900,70160,0.07,w
140," 6,125.00 ", 0.14 ,209.28,C," 25,000.00 "," 9,822.00 ",14700.00,25950,9822,9300,11250,0.05,e
141," 20,000.00 ", 0.18 ,503.21,D," 93,200.00 "," 176,124.00 ",29600.00,206309,53749,26100,48959,0.05,r
142," 6,000.00 ", 0.19 ,220.61,D," 52,000.00 "," 7,476.00 ",12500.00,12500,7476,3500,0,0.16,w
143," 14,400.00 ", 0.18 ,367.63,D," 65,000.00 "," 41,753.00 ",31600.00,71129,41753,23100,39529,-0.33,e
144," 10,200.00 ", 0.08 ,319.17,A," 75,000.00 "," 322,607.00 ",35100.00,357877,35232,33900,32892,0.00,r
145," 18,000.00 ", 0.08 ,563.23,A," 106,000.00 "," 45,485.00 ",23300.00,51683,45485,10500,28383,0.07,w
146," 22,250.00 ", 0.16 ,777.97,C," 56,000.00 "," 18,288.00 ",35800.00,35800,18288,25500,0,0.15,e
147," 6,000.00 ", 0.14 ,206.44,C," 80,000.00 "," 30,815.00 ",29500.00,54980,30815,19400,25480,0.12,r
148," 35,000.00 ", 0.18 ,893.54,D," 140,000.00 "," 500,884.00 ",52800.00,539307,74944,35500,43090,0.19,w
149," 10,000.00 ", 0.13 ,336.22,B," 130,000.00 "," 317,203.00 ",36800.00,383585,79636,29600,103123,0.12,e
150," 6,100.00 ", 0.12 ,202.58,B," 45,000.00 "," 37,833.00 ",16500.00,50095,37833,10300,33595,0.09,r
151," 17,625.00 ", 0.14 ,606.42,C," 40,000.00 "," 14,921.00 ",62100.00,62100,14921,57400,0,0.14,w
152," 30,000.00 ", 0.15 ,713.39,C," 72,000.00 "," 115,197.00 ",41100.00,169762,28084,17800,18662,0.03,e
153," 20,000.00 ", 0.13 ,672.44,B," 50,000.00 "," 20,968.00 ",14000.00,33594,20968,11500,19594,-0.45,r
154," 32,875.00 ", 0.19 ,856.79,D," 75,000.00 "," 178,021.00 ",22000.00,213488,38615,13000,51273,0.04,w
155," 9,850.00 ", 0.12 ,327.12,B," 39,000.00 "," 127,051.00 ",39100.00,188904,34976,29900,35544,0.11,e
156," 33,000.00 ", 0.13 ,1109.52,B," 125,000.00 "," 64,988.00 ",49200.00,96075,64988,39600,46875,0.12,r
157," 28,000.00 ", 0.13 ,634.94,B," 62,000.00 "," 216,881.00 ",59000.00,261246,51329,41000,31346,0.05,w
158," 10,000.00 ", 0.18 ,255.3,D," 40,000.00 "," 102,499.00 ",20700.00,114514,9428,6700,0,0.10,e
159," 16,000.00 ", 0.14 ,543.2,B," 64,000.00 "," 51,707.00 ",40000.00,75966,51707,4300,35966,0.13,r
160," 6,000.00 ", 0.08 ,187.75,A," 34,000.00 "," 49,632.00 ",9800.00,74748,49632,6700,64948,0.07,w
161," 15,000.00 ", 0.08 ,467.43,A," 100,000.00 "," 277,407.00 ",45500.00,335216,25346,45500,28874,0.04,e
162," 14,000.00 ", 0.10 ,449.58,B," 56,350.00 "," 205,840.00 ",49400.00,253411,62759,40100,55811,0.09,r
163," 16,000.00 ", 0.11 ,523.75,B," 40,000.00 "," 14,833.00 ",22100.00,42100,14833,22100,20000,0.10,w
164," 32,350.00 ", 0.19 ,1189.43,D," 90,000.00 "," 349,109.00 ",46600.00,378818,161108,18200,135339,0.19,e
165," 21,100.00 ", 0.14 ,496.12,C," 100,000.00 "," 401,877.00 ",63100.00,491906,49477,49000,36230,0.13,r
166," 5,000.00 ", 0.16 ,174.83,C," 55,000.00 "," 24,793.00 ",9000.00,31322,24793,7800,22322,0.09,w
167," 10,000.00 ", 0.16 ,244.46,C," 86,500.00 "," 40,738.00 ",14400.00,60525,40738,14400,46125,0.06,e
168," 24,000.00 ", 0.15 ,570.71,C," 90,000.00 "," 367,317.00 ",25700.00,391802,125350,18000,115602,0.18,r
169," 20,000.00 ", 0.16 ,705.52,C," 150,000.00 "," 18,327.00 ",11800.00,24231,18327,9400,12431,0.15,w
170," 12,000.00 ", 0.16 ,423.31,C," 74,000.00 "," 17,446.00 ",22400.00,37400,17446,9000,15000,-0.61,e
171," 6,000.00 ", 0.16 ,209.79,C," 31,678.00 "," 51,109.00 ",7000.00,58129,51109,5800,51129,0.04,r
172," 1,100.00 ", 0.12 ,36.54,B," 63,500.00 "," 331,511.00 ",13700.00,355368,42985,11500,31412,0.11,w
173," 10,050.00 ", 0.14 ,341.2,B," 25,000.00 "," 9,011.00 ",21000.00,21000,9011,17500,0,0.13,e
174," 15,000.00 ", 0.15 ,519.84,C," 170,000.00 "," 688,748.00 ",12700.00,768854,34175,6000,43654,0.12,r
175," 8,000.00 ", 0.12 ,265.68,B," 130,000.00 "," 456,189.00 ",60900.00,512142,84157,54600,42695,0.11,w
176," 32,875.00 ", 0.24 ,940.04,F," 75,000.00 "," 199,458.00 ",25700.00,217743,76738,9000,60437,-0.76,e
177," 11,000.00 ", 0.16 ,388.04,C," 35,000.00 "," 7,609.00 ",12900.00,12900,7609,4500,0,0.06,r
178," 22,000.00 ", 0.20 ,582.5,D," 91,000.00 "," 75,402.00 ",24400.00,84242,75402,19600,59842,-0.51,w
179," 10,000.00 ", 0.13 ,336.22,B," 63,000.00 "," 126,417.00 ",14400.00,148639,38398,5800,41889,0.12,e
180," 35,000.00 ", 0.26 ,1039.03,F," 83,000.00 "," 246,730.00 ",20600.00,277059,92851,17100,86822,-0.47,r
181," 5,250.00 ", 0.19 ,193.03,D," 37,000.00 "," 27,303.00 ",8300.00,28900,27303,1000,20600,-0.43,w
182," 22,400.00 ", 0.14 ,520.98,C," 62,000.00 "," 109,977.00 ",23200.00,128259,32037,20700,22176,-0.46,e
183," 14,000.00 ", 0.11 ,458.28,B," 85,700.00 "," 108,878.00 ",42500.00,130582,108878,27000,88082,0.10,r
184," 20,000.00 ", 0.14 ,683.36,C," 75,000.00 "," 36,802.00 ",26800.00,54487,36802,26800,27687,0.13,w
185," 2,000.00 ", 0.10 ,64.23,B," 70,000.00 "," 9,534.00 ",55300.00,55300,9534,42800,0,0.06,e
186," 25,000.00 ", 0.14 ,848.75,B," 78,000.00 "," 308,227.00 ",37000.00,332290,53903,9800,34108,0.13,r
187," 7,275.00 ", 0.14 ,246.99,B," 120,000.00 "," 200,812.00 ",12000.00,222456,44936,12000,48665,0.13,w
188," 18,000.00 ", 0.16 ,434.01,C," 195,000.00 "," 95,229.00 ",66200.00,131531,95229,66200,51359,0.22,e
189," 10,000.00 ", 0.16 ,349.65,C," 79,000.00 "," 168,073.00 ",13100.00,190499,58851,9300,60939,0.03,r
190," 18,000.00 ", 0.11 ,589.22,B," 85,000.00 "," 34,848.00 ",44300.00,58636,34848,8600,14336,0.10,w
191," 12,000.00 ", 0.13 ,403.47,B," 107,000.00 "," 264,972.00 ",19600.00,307873,51130,6700,61994,0.12,e
192," 28,000.00 ", 0.16 ,979.02,C," 101,000.00 "," 66,117.00 ",17300.00,82209,66117,12000,64909,0.15,r
193," 35,000.00 ", 0.18 ,1257.8,D," 150,000.00 "," 143,232.00 ",88100.00,182442,143232,88100,94342,0.08,w
194," 18,000.00 ", 0.13 ,605.2,B," 67,000.00 "," 68,303.00 ",31400.00,90010,68303,8500,58610,0.07,e
195," 7,000.00 ", 0.08 ,219.04,A," 80,000.00 "," 46,799.00 ",28100.00,77943,46799,17000,49754,0.02,r
196," 35,000.00 ", 0.09 ,1111.37,A," 96,012.00 "," 434,950.00 ",82600.00,533161,117240,33000,83263,0.08,w
197," 7,000.00 ", 0.14 ,237.65,B," 40,000.00 "," 68,862.00 ",39400.00,96495,68862,38400,45442,-0.22,e
198," 5,000.00 ", 0.14 ,169.75,B," 43,000.00 "," 5,183.00 ",15500.00,15500,5183,15500,0,0.13,r
199," 25,000.00 ", 0.08 ,779.04,A," 195,000.00 "," 698,931.00 ",40300.00,790671,125964,34900,121727,0.07,w
200," 9,800.00 ", 0.14 ,332.71,B," 52,000.00 "," 70,656.00 ",23500.00,83560,70656,15400,60060,0.10,e
201," 20,000.00 ", 0.16 ,482.23,C," 67,000.00 "," 231,936.00 ",28900.00,258159,84626,24000,76669,0.04,r
202," 6,800.00 ", 0.11 ,222.6,B," 107,000.00 "," 38,932.00 ",28200.00,59992,38932,21000,31792,0.02,w
203," 6,000.00 ", 0.11 ,196.41,B," 173,000.00 "," 460,907.00 ",16200.00,488827,98969,11000,60773,-0.69,e
204," 10,200.00 ", 0.08 ,317.85,A," 75,000.00 "," 227,362.00 ",45900.00,273355,52081,39300,39955,0.05,r
205," 10,000.00 ", 0.10 ,321.13,B," 54,000.00 "," 19,998.00 ",15000.00,38815,19998,4300,23815,0.09,w
206," 8,000.00 ", 0.10 ,256.9,B," 98,000.00 "," 59,850.00 ",14500.00,62567,59850,13500,48067,0.09,e
207," 20,000.00 ", 0.14 ,460.51,B," 53,823.00 "," 90,658.00 ",41800.00,113800,20563,20000,0,0.16,r
208," 24,925.00 ", 0.17 ,619.32,D," 55,000.00 "," 151,370.00 ",87300.00,212300,36214,84200,0,-0.43,w
209," 1,500.00 ", 0.24 ,58.62,F," 67,500.00 "," 220,022.00 ",11000.00,230112,12423,7400,0,0.03,e
210," 10,000.00 ", 0.18 ,362.78,D," 45,000.00 "," 23,927.00 ",22900.00,38358,23927,7500,15458,-0.11,r
211," 17,000.00 ", 0.14 ,399.72,C," 60,000.00 "," 48,448.00 ",28500.00,97175,48448,17400,68675,0.20,w
212," 7,200.00 ", 0.24 ,281.35,F," 35,000.00 "," 32,583.00 ",7900.00,32945,32583,6400,25045,0.13,e
